M sat unsat walkunsat unconverged unknown
0 100 0 0 0 0
30 100 0 0 0 0
60 100 0 0 0 0
90 100 0 0 0 0
120 100 0 0 0 0
150 100 0 0 0 0
180 100 0 0 0 0
210 100 0 0 0 0
240 100 0 0 0 0
270 100 0 0 0 0
300 100 0 0 0 0
330 100 0 0 0 0
360 100 0 0 0 0
390 100 0 0 0 0
420 100 0 0 0 0
450 100 0 0 0 0
480 100 0 0 0 0
510 100 0 0 0 0
540 100 0 0 0 0
570 100 0 0 0 0
600 100 0 0 0 0
630 100 0 0 0 0
660 100 0 0 0 0
690 100 0 0 0 0
720 100 0 0 0 0
750 100 0 0 0 0
780 100 0 0 0 0
810 100 0 0 0 0
840 100 0 0 0 0
870 100 0 0 0 0
900 100 0 0 0 0
930 100 0 0 0 0
960 100 0 0 0 0
990 100 0 0 0 0
1020 100 0 0 0 0
1050 100 0 0 0 0
1080 100 0 0 0 0
1110 100 0 0 0 0
1140 98 0 0 1 1
1170 94 0 0 4 2
1200 82 0 0 15 3
1230 56 0 0 40 4
1260 21 0 0 78 1
1290 2 0 0 96 2
1320 0 0 0 100 0
1350 0 0 0 100 0
1380 0 0 0 100 0
1410 0 0 0 100 0
1440 0 0 0 100 0
1470 0 0 0 100 0
1500 0 0 0 100 0
