M sat unsat unknown
0 100 0 0
300 100 0 0
600 100 0 0
900 100 0 0
1200 100 0 0
1500 100 0 0
1800 100 0 0
2100 100 0 0
2400 100 0 0
2700 100 0 0
3000 100 0 0
3300 100 0 0
3600 100 0 0
3900 100 0 0
4200 100 0 0
4500 100 0 0
4800 100 0 0
5100 100 0 0
5400 100 0 0
5700 100 0 0
6000 100 0 0
6300 100 0 0
6600 100 0 0
6900 100 0 0
7200 100 0 0
7500 100 0 0
7800 100 0 0
8100 100 0 0
8400 100 0 0
8700 100 0 0
9000 100 0 0
9300 100 0 0
9600 100 0 0
9900 100 0 0
10200 100 0 0
10500 100 0 0
10800 100 0 0
11100 100 0 0
11400 100 0 0
11700 100 0 0
12000 64 0 36
12300 7 0 93
12600 0 0 100
12900 0 0 100
13200 0 0 100
13500 0 0 100
13800 0 0 100
14100 0 0 100
14400 0 0 100
14700 0 0 100
15000 0 0 100
